instance_id,benchmark,language,file_count_bucket,span_bin,task_category
instance_internetarchive__openlibrary-4b7ea2977be2747496ba792a678940baa985f7ea-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,pro,python,3+,multi,
instance_internetarchive__openlibrary-7edd1ef09d91fe0b435707633c5cc9af41dedddf-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,pro,python,2,multi,
instance_internetarchive__openlibrary-a48fd6ba9482c527602bc081491d9e8ae6e8226c-vfa6ff903cb27f336e17654595dd900fa943dcd91,pro,python,1,single,
instance_internetarchive__openlibrary-fad4a40acf5ff5f06cd7441a5c7baf41a7d81fe4-vfa6ff903cb27f336e17654595dd900fa943dcd91,pro,python,2,multi,
instance_navidrome__navidrome-09ae41a2da66264c60ef307882362d2e2d8d8b89,pro,go,3+,multi,
instance_navidrome__navidrome-1e96b858a91c640fe64e84c5e5ad8cc0954ea38d,pro,go,1,single,
instance_navidrome__navidrome-3bc9e75b2843f91f6a1e9b604e321c2bd4fd442a,pro,go,2,multi,
instance_navidrome__navidrome-56303cde23a4122d2447cbb266f942601a78d7e4,pro,go,1,single,
instance_navidrome__navidrome-6c6223f2f9db2c8c253e0d40a192e3519c9037d1,pro,go,1,single,
instance_navidrome__navidrome-c90468b895f6171e33e937ff20dc915c995274f0,pro,go,3+,multi,
instance_navidrome__navidrome-d21932bd1b2379b0ebca2d19e5d8bae91040268a,pro,go,3+,multi,
instance_navidrome__navidrome-d5df102f9f97c21715c756069c9e141da2a422dc,pro,go,3+,multi,
instance_navidrome__navidrome-de90152a7173039677ac808f5bfb1e644d761336,pro,go,1,single,
instance_qutebrowser__qutebrowser-1943fa072ec3df5a87e18a23b0916f134c131016-vafb3e8e01b31319c66c4e666b8a3b1d8ba55db24,pro,python,3+,multi,
instance_qutebrowser__qutebrowser-1af602b258b97aaba69d2585ed499d95e2303ac2-v2ef375ac784985212b1805e1d0431dc8f1b3c171,pro,python,1,single,
instance_qutebrowser__qutebrowser-36ade4bba504eb96f05d32ceab9972df7eb17bcc-v2ef375ac784985212b1805e1d0431dc8f1b3c171,pro,python,1,single,
instance_qutebrowser__qutebrowser-479aa075ac79dc975e2e949e188a328e95bf78ff-vc2f56a753b62a190ddb23cd330c257b9cf560d12,pro,python,1,single,
instance_qutebrowser__qutebrowser-9b71c1ea67a9e7eb70dd83214d881c2031db6541-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,pro,python,1,single,
instance_qutebrowser__qutebrowser-9ed748effa8f3bcd804612d9291da017b514e12f-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,pro,python,1,single,
instance_qutebrowser__qutebrowser-bedc9f7fadf93f83d8dee95feeecb9922b6f063f-v2ef375ac784985212b1805e1d0431dc8f1b3c171,pro,python,3+,multi,
instance_qutebrowser__qutebrowser-fcfa069a06ade76d91bac38127f3235c13d78eb1-v5fc38aaf22415ab0b70567368332beee7955b367,pro,python,1,single,
